variant,strong_bull_trades,strong_bull_win_rate,strong_bull_avg_return,strong_bull_total_pnl,strong_bull_avg_hold,strong_bull_sharpe,strong_bull_max_dd,strong_bull_days,weak_bull_trades,weak_bull_win_rate,weak_bull_avg_return,weak_bull_total_pnl,weak_bull_avg_hold,weak_bull_sharpe,weak_bull_max_dd,weak_bull_days,sideways_trades,sideways_win_rate,sideways_avg_return,sideways_total_pnl,sideways_avg_hold,sideways_sharpe,sideways_max_dd,sideways_days,slow_bear_trades,slow_bear_win_rate,slow_bear_avg_return,slow_bear_total_pnl,slow_bear_avg_hold,slow_bear_sharpe,slow_bear_max_dd,slow_bear_days,fast_bear_trades,fast_bear_win_rate,fast_bear_avg_return,fast_bear_total_pnl,fast_bear_avg_hold,fast_bear_sharpe,fast_bear_max_dd,fast_bear_days,total_trades,total_win_rate,total_pnl,total_return
持仓10只,387,37.2,-0.88,-138028.0,1.9,0.08,-98.89,127,1968,38.8,-0.51,-149019.0,1.7,-2.05,-98.91,492,2661,38.3,-0.72,-584264.0,1.8,-2.38,-99.4,554,1839,34.5,-1.16,-103843.0,1.8,-4.6,-98.89,319,451,39.2,-0.68,-18192.0,2.1,-4.52,-99.0,72,7306,37.5,-993347.0,-99.3
基线,221,40.3,-0.61,-97971.0,1.9,1.18,-99.45,127,1103,39.8,-0.57,-158549.0,1.6,-2.06,-99.46,492,1508,38.5,-0.74,-683326.0,1.7,-1.77,-99.73,554,1008,35.6,-1.29,-65991.0,1.7,-4.26,-99.57,319,242,40.5,-0.27,8775.0,1.9,-1.91,-99.57,72,4082,38.4,-997062.0,-99.7
紧止损(5%),221,40.3,-0.61,-97971.0,1.9,1.18,-99.46,127,1103,39.8,-0.57,-158549.0,1.6,-2.06,-99.46,492,1508,38.5,-0.74,-683326.0,1.7,-1.77,-99.73,554,1009,35.7,-1.29,-65969.0,1.7,-4.26,-99.57,319,242,40.5,-0.28,8751.0,1.9,-1.91,-99.57,72,4083,38.4,-997064.0,-99.7
宽止损(12%),221,40.3,-0.61,-97971.0,1.9,1.18,-99.45,127,1103,39.8,-0.57,-158549.0,1.6,-2.06,-99.46,492,1508,38.5,-0.74,-683326.0,1.7,-1.77,-99.73,554,1008,35.6,-1.29,-65991.0,1.7,-4.26,-99.57,319,242,40.5,-0.27,8775.0,1.9,-1.91,-99.57,72,4082,38.4,-997062.0,-99.7
移动止盈8%,221,40.3,-0.61,-97971.0,1.9,1.18,-99.45,127,1103,39.8,-0.57,-158549.0,1.6,-2.06,-99.46,492,1508,38.5,-0.74,-683326.0,1.7,-1.77,-99.73,554,1008,35.6,-1.29,-65991.0,1.7,-4.26,-99.57,319,242,40.5,-0.27,8775.0,1.9,-1.91,-99.57,72,4082,38.4,-997062.0,-99.7
移动止盈12%,221,40.3,-0.61,-97971.0,1.9,1.18,-99.45,127,1103,39.8,-0.57,-158549.0,1.6,-2.06,-99.46,492,1508,38.5,-0.74,-683326.0,1.7,-1.77,-99.73,554,1008,35.6,-1.29,-65991.0,1.7,-4.26,-99.57,319,242,40.5,-0.27,8775.0,1.9,-1.91,-99.57,72,4082,38.4,-997062.0,-99.7
移动止盈15%,221,40.3,-0.61,-97971.0,1.9,1.18,-99.45,127,1103,39.8,-0.57,-158549.0,1.6,-2.06,-99.46,492,1508,38.5,-0.74,-683326.0,1.7,-1.77,-99.73,554,1008,35.6,-1.29,-65991.0,1.7,-4.26,-99.57,319,242,40.5,-0.27,8775.0,1.9,-1.91,-99.57,72,4082,38.4,-997062.0,-99.7
冷却3天,217,39.2,-0.67,-121455.0,2.0,0.63,-99.49,127,1081,38.3,-0.69,-185118.0,1.6,-2.29,-99.48,492,1461,38.8,-0.7,-631274.0,1.7,-1.97,-99.74,554,838,35.2,-1.37,-61992.0,1.7,-4.01,-99.58,319,227,38.3,-0.58,2777.0,2.0,-2.75,-99.58,72,3824,37.9,-997063.0,-99.7
冷却5天,222,37.8,-0.77,-130374.0,1.9,0.63,-99.5,127,1091,38.5,-0.68,-173086.0,1.6,-2.08,-99.49,492,1493,39.7,-0.63,-626475.0,1.7,-1.96,-99.73,554,890,35.4,-1.4,-71490.0,1.6,-4.03,-99.57,319,232,37.5,-0.62,4421.0,2.0,-2.55,-99.57,72,3928,38.2,-997003.0,-99.7
收阳确认,224,40.6,-0.54,-101919.0,1.9,1.3,-99.45,127,1113,39.8,-0.6,-167339.0,1.6,-2.19,-99.45,492,1508,38.5,-0.73,-667208.0,1.7,-1.79,-99.73,554,986,35.8,-1.28,-69390.0,1.7,-4.23,-99.57,319,236,40.3,-0.24,8834.0,1.9,-1.76,-99.57,72,4067,38.4,-997022.0,-99.7
冷却3天+收阳,216,38.9,-0.72,-122885.0,2.0,0.58,-99.5,127,1075,38.3,-0.67,-187438.0,1.6,-2.25,-99.49,492,1447,38.7,-0.7,-627347.0,1.7,-1.93,-99.74,554,816,34.9,-1.39,-62014.0,1.7,-4.08,-99.59,319,223,38.1,-0.66,2661.0,1.9,-2.88,-99.59,72,3777,37.8,-997023.0,-99.7
紧止损+移动止盈10%,221,40.3,-0.61,-97971.0,1.9,1.18,-99.46,127,1103,39.8,-0.57,-158549.0,1.6,-2.06,-99.46,492,1508,38.5,-0.74,-683326.0,1.7,-1.77,-99.73,554,1009,35.7,-1.29,-65969.0,1.7,-4.26,-99.57,319,242,40.5,-0.28,8751.0,1.9,-1.91,-99.57,72,4083,38.4,-997064.0,-99.7
冷却5天+止盈12%,222,37.8,-0.77,-130374.0,1.9,0.63,-99.5,127,1091,38.5,-0.68,-173086.0,1.6,-2.08,-99.49,492,1493,39.7,-0.63,-626475.0,1.7,-1.96,-99.73,554,890,35.4,-1.4,-71490.0,1.6,-4.03,-99.57,319,232,37.5,-0.62,4421.0,2.0,-2.55,-99.57,72,3928,38.2,-997003.0,-99.7
持仓3只,138,38.4,-0.87,-136978.0,1.9,0.99,-99.71,127,651,41.3,-0.45,-104644.0,1.6,-1.66,-99.7,492,888,37.2,-0.89,-718910.0,1.7,-1.32,-99.89,554,536,34.0,-1.52,-63763.0,1.7,-4.54,-99.82,319,135,37.0,-0.37,25865.0,1.9,-0.81,-99.75,72,2348,37.6,-998431.0,-99.8
